,City,Lat,Max Temp,Cloudiness,Country,Date,Humidity,Lng,Wind Speed
0,Severo-Kuril'sk,50.68,-6.5,100,RU,1583346858,94,156.12,3.01
1,Chui,-33.7,26.91,15,UY,1583346858,50,-53.46,5.12
2,Saint Anthony,45.02,3.05,90,US,1583346859,44,-93.22,3.1
3,Mount Gambier,-37.83,15.0,90,AU,1583346859,100,140.77,3.1
4,Kahului,20.89,21.53,20,US,1583346646,78,-156.47,3.17
5,Gboko,7.32,33.7,41,NG,1583346859,36,9.0,2.86
6,Bluff,-46.6,4.44,15,NZ,1583346631,87,168.33,0.45
7,Port Alfred,-33.59,24.47,0,ZA,1583346696,76,26.89,3.45
8,Bredasdorp,-34.53,20.36,1,ZA,1583346860,64,20.04,4.1
9,Tuktoyaktuk,69.45,-37.0,75,CA,1583346817,65,-133.04,5.1
10,Birjand,32.87,4.0,40,IR,1583346760,69,59.22,2.1
11,Rikitea,-23.12,25.18,93,PF,1583346861,78,-134.97,10.02
12,Kruisfontein,-34.0,23.37,21,ZA,1583346861,61,24.73,3.09
13,East London,-33.02,27.0,0,ZA,1583346861,78,27.91,2.1
14,Bathsheba,13.22,29.0,40,BB,1583346861,58,-59.52,9.8
15,Provideniya,64.38,-17.95,0,RU,1583346862,65,-173.3,0.66
16,Fortuna,40.6,9.58,90,US,1583346862,93,-124.16,2.12
17,Puerto Ayora,-0.74,28.11,75,EC,1583346862,70,-90.35,2.1
18,Yellowknife,62.46,-22.57,75,CA,1583346604,76,-114.35,4.6
19,Pangnirtung,66.15,-12.0,90,CA,1583346862,85,-65.71,1.5
20,Albany,42.6,6.33,40,US,1583346621,39,-73.97,9.8
21,Portland,45.52,8.99,75,US,1583346604,66,-122.68,1.5
22,Sosnovka,56.26,-3.08,100,RU,1583346863,95,51.28,1.26
23,Port Blair,11.67,26.59,66,IN,1583346863,78,92.75,4.91
24,Thinadhoo,0.53,28.35,66,MV,1583346863,74,72.93,5.73
25,Longyearbyen,78.22,-9.0,75,SJ,1583346847,78,15.64,3.6
26,Bengkulu,-3.8,21.08,100,ID,1583346864,87,102.27,2.6
27,Hervey Bay,-25.3,24.35,40,AU,1583346864,83,152.85,2.6
28,Jamestown,42.1,1.93,90,US,1583346864,94,-79.24,5.7
29,Tual,-5.67,28.62,82,ID,1583346864,79,132.75,3.31
30,Atuona,-9.8,27.24,12,PF,1583346864,74,-139.03,5.77
31,Kaitangata,-46.28,8.33,0,NZ,1583346864,80,169.85,3.14
32,Mabaruma,8.2,29.18,42,GY,1583346865,58,-59.78,3.2
33,Codrington,-38.27,16.85,100,AU,1583346694,86,141.97,2.6
34,Guerrero Negro,27.98,18.88,0,MX,1583346865,52,-114.06,1.5
35,Qaanaaq,77.48,-24.93,100,GL,1583346865,96,-69.36,0.86
36,Castro,-24.79,24.17,1,BR,1583346865,44,-50.01,2.77
37,Lebu,-37.62,22.31,6,CL,1583346865,40,-73.65,5.69
38,Mar del Plata,-38.0,23.83,0,AR,1583346685,69,-57.56,5.1
39,Katsuura,35.13,8.81,75,JP,1583346866,93,140.3,2.6
40,Saint-Philippe,-21.36,25.17,75,RE,1583346866,94,55.77,2.6
41,Talnakh,69.49,-9.0,100,RU,1583346866,85,88.4,7.0
42,Hermanus,-34.42,19.44,33,ZA,1583346866,89,19.23,2.89
43,Luangwa,-15.62,21.56,55,ZM,1583346866,80,30.42,2.05
44,Mercedes,-34.65,33.13,0,AR,1583346867,34,-59.43,0.45
45,Saint Lawrence,36.06,13.21,20,MT,1583346867,71,14.2,8.7
46,Chegem,43.28,9.04,8,RU,1583346867,43,43.13,2.0
47,Ushuaia,-54.8,14.55,75,AR,1583346742,62,-68.3,2.6
48,Quatre Cocos,-20.21,26.31,40,MU,1583346867,100,57.76,1.0
49,Rameswaram,9.28,27.26,100,IN,1583346868,74,79.3,8.35
50,Sabang,5.89,27.85,42,ID,1583346868,76,95.32,3.83
51,Lavrentiya,65.58,-19.44,0,RU,1583346868,83,-171.0,0.31
52,Havøysund,71.0,-5.5,20,NO,1583346868,73,24.66,14.9
53,Grenville,12.12,29.0,20,GD,1583346868,62,-61.62,9.3
54,Verāval,20.9,19.98,0,IN,1583346868,87,70.37,3.16
55,Bayan,46.08,-14.19,20,CN,1583346868,94,127.4,3.04
56,Avarua,-21.21,27.0,1,CK,1583346869,88,-159.78,1.0
57,Saint-François,46.42,8.19,90,FR,1583346869,70,3.91,4.1
58,Saskylakh,71.92,-18.25,98,RU,1583346869,95,114.08,1.5
59,Xining,36.62,-2.44,0,CN,1583346869,39,101.77,2.33
60,Ambon City,-3.7,26.0,40,ID,1583346869,94,128.18,2.6
61,Mount Isa,-20.73,23.0,90,AU,1583346637,100,139.5,2.6
62,Tura,25.52,20.11,0,IN,1583346870,55,90.22,1.31
63,Douglas,41.3,12.67,1,US,1583346870,37,-96.17,2.6
64,Hithadhoo,-0.6,28.44,100,MV,1583346779,76,73.08,6.81
65,Saint Paul Harbor,57.79,-11.0,40,US,1583346870,56,-152.41,9.8
66,Revda,56.8,0.0,40,RU,1583346870,96,59.93,4.0
67,Moyale,3.52,26.7,100,KE,1583346871,48,39.06,1.64
68,Iralaya,15.0,31.0,75,HN,1583346871,66,-83.23,4.1
69,Pacifica,37.61,19.03,40,US,1583346871,72,-122.49,2.1
70,Takoradze,4.88,28.6,48,GH,1583346872,74,-1.76,3.09
71,Shenjiamen,29.96,8.22,100,CN,1583346872,67,122.3,8.57
72,Vaini,-21.2,24.0,75,TO,1583346872,88,-175.2,2.1
73,Dingle,11.0,23.29,31,PH,1583346872,83,122.67,3.68
74,Kumul,42.8,4.6,1,CN,1583346872,34,93.45,4.83
75,Ponta Delgada,37.73,15.0,20,PT,1583346873,54,-25.67,7.7
76,Dunedin,-45.87,9.39,10,NZ,1583346810,81,170.5,3.32
77,Kapit,2.02,22.79,100,MY,1583346873,99,112.93,0.69
78,New Norfolk,-42.78,13.94,90,AU,1583346696,100,147.06,3.6
79,Salalah,17.02,26.0,20,OM,1583346873,74,54.09,1.5
80,Kurchum,48.57,-12.31,0,KZ,1583346873,83,83.65,2.34
81,Makakilo City,21.35,21.22,2,US,1583346873,88,-158.09,0.51
82,Pec,42.66,5.0,75,XK,1583346874,80,20.29,3.1
83,Iqaluit,63.75,-15.0,75,CA,1583346874,77,-68.51,1.0
84,Arraial do Cabo,-22.97,26.65,75,BR,1583346695,74,-42.03,6.2
85,Cayenne,4.93,30.0,40,GF,1583346874,62,-52.33,6.2
86,Nanortalik,60.14,-6.45,0,GL,1583346874,60,-45.24,7.1
87,Jinhua,29.11,6.59,100,CN,1583346874,93,119.65,1.68
88,Māgadi,12.97,26.23,40,IN,1583346875,50,77.23,2.1
89,Carnarvon,-24.87,26.0,0,AU,1583346667,88,113.63,4.6
90,Sangar,63.92,-18.07,100,RU,1583346875,83,127.47,6.46
91,State College,40.79,10.08,75,US,1583346844,45,-77.86,4.1
92,Margate,51.38,6.04,75,GB,1583346608,93,1.39,3.1
93,Khatanga,71.97,-20.52,88,RU,1583346875,100,102.5,0.88
94,Rock Sound,24.9,23.57,29,BS,1583346876,84,-76.2,6.05
95,Pevek,69.7,-19.63,2,RU,1583346876,71,170.31,4.62
96,Aswān,24.09,22.46,0,EG,1583346876,12,32.91,2.23
97,Tiksi,71.69,-16.28,100,RU,1583346876,81,128.87,9.14
98,Sechura,-5.56,24.02,0,PE,1583346876,88,-80.82,6.15
99,Kavieng,-2.57,28.98,100,PG,1583346694,64,150.8,3.64
100,Mataura,-46.19,4.44,6,NZ,1583346877,87,168.86,0.45
101,Kapaa,22.08,20.24,1,US,1583346877,94,-159.32,3.1
102,Innisfail,-17.53,24.31,72,AU,1583346643,89,146.03,1.12
103,Hoa Binh,20.81,17.0,90,VN,1583346877,88,105.34,2.6
104,Bandar-e Lengeh,26.56,19.0,0,IR,1583346642,63,54.88,2.1
105,Moses Lake,47.13,10.0,1,US,1583346878,23,-119.28,10.3
106,General Roca,-39.03,38.0,0,AR,1583346878,24,-67.58,4.6
107,Leningradskiy,69.38,-18.06,25,RU,1583346878,64,178.42,2.34
108,Uniontown,39.9,11.54,1,US,1583346878,34,-79.72,4.1
109,Duvergé,18.38,30.0,20,DO,1583346878,66,-71.52,6.7
110,Hobart,-42.88,14.02,90,AU,1583346879,100,147.33,3.6
111,Thompson,55.74,-7.0,75,CA,1583346879,67,-97.86,2.1
112,Praia da Vitória,38.73,17.0,40,PT,1583346879,59,-27.07,8.96
113,Punta Arenas,-53.15,13.64,75,CL,1583346879,87,-70.92,3.6
114,Daru,-9.08,25.41,100,PG,1583346879,90,143.21,1.19
115,Vrangel',42.73,-0.5,100,RU,1583346880,64,133.08,12.83
116,Phalaborwa,-23.94,21.81,42,ZA,1583346880,71,31.14,2.65
117,Chapais,49.78,-5.0,90,CA,1583346761,79,-74.85,5.7
118,Marawi,8.0,23.89,83,PH,1583346880,89,124.29,2.68
119,Chokurdakh,70.63,-24.37,0,RU,1583346880,77,147.92,1.08
120,Tasiilaq,65.61,0.0,75,GL,1583346881,70,-37.64,1.0
121,Ponta do Sol,32.67,16.21,75,PT,1583346881,72,-17.1,5.1
122,Gorontalo,0.54,23.55,100,ID,1583346881,96,123.06,1.02
123,Porbandar,21.64,24.23,0,IN,1583346881,75,69.61,5.72
124,São Félix do Xingu,-6.64,30.08,44,BR,1583346881,71,-51.99,1.3
125,Ribeira Grande,38.52,16.0,40,PT,1583346882,59,-28.7,7.2
126,Srednekolymsk,67.45,-19.42,89,RU,1583346882,73,153.68,2.17
127,Jumla,29.27,-0.65,63,NP,1583346882,84,82.18,1.73
128,Cape Town,-33.93,19.16,20,ZA,1583346620,88,18.42,2.1
129,Apastovo,55.2,0.0,100,RU,1583346882,96,48.51,2.0
130,Busselton,-33.65,15.62,63,AU,1583346695,51,115.33,4.54
131,Maturin,9.75,31.73,73,VE,1583346590,45,-63.18,3.78
132,Nísia Floresta,-6.09,31.0,20,BR,1583346883,62,-35.21,5.7
133,Gravdal,68.12,1.56,75,NO,1583346883,51,13.5,6.2
134,Te Anau,-45.42,4.97,6,NZ,1583346883,81,167.72,1.07
135,Sakakah,29.97,19.0,0,SA,1583346883,22,40.21,4.1
136,Hilo,19.73,21.13,90,US,1583346884,83,-155.09,0.66
137,Angoram,-4.06,23.3,100,PG,1583346884,99,144.07,1.44
138,Mombetsu,44.35,-3.69,100,JP,1583346884,87,143.35,7.93
139,Shimoda,34.67,8.32,75,JP,1583346884,93,138.95,3.6
140,Berlevåg,70.86,-7.0,56,NO,1583346885,57,29.09,5.1
141,Butaritari,3.07,28.08,60,KI,1583346885,78,172.79,7.53
142,Shingū,33.73,10.07,99,JP,1583346885,69,135.98,7.66
143,Arman',59.7,-12.66,100,RU,1583346885,96,150.17,2.16
144,Russell,32.35,14.49,90,US,1583346885,93,-85.2,2.6
145,Fort Nelson,58.81,-15.0,75,CA,1583346643,65,-122.7,1.0
146,Isangel,-19.55,23.0,40,VU,1583346886,94,169.27,4.93
147,Krasnoarmeysk,51.02,5.56,72,RU,1583346886,85,45.7,0.45
148,Stokmarknes,68.56,-0.33,76,NO,1583346664,55,14.91,8.2
149,Whitecourt,54.15,1.0,75,CA,1583346703,59,-115.69,9.3
150,Kolokani,13.57,35.93,0,ML,1583346887,5,-8.03,2.72
151,Haines Junction,60.75,-21.51,100,CA,1583346887,98,-137.51,2.87
152,Kodinsk,58.69,-7.98,100,RU,1583346887,96,99.18,2.43
153,Dikson,73.51,-24.22,92,RU,1583346887,99,80.55,5.33
154,Tataouine,32.93,20.0,0,TN,1583346888,22,10.45,4.1
155,Kärdla,59.0,3.89,100,EE,1583346888,92,22.75,3.58
156,Northam,51.03,7.4,75,GB,1583346888,100,-4.22,3.1
157,Binka,21.03,23.2,0,IN,1583346888,62,83.8,1.28
158,Pedernales,18.04,30.0,20,DO,1583346888,66,-71.74,6.7
159,Murud,18.33,18.04,0,IN,1583346889,88,72.97,0.73
160,Kresttsy,58.25,4.59,100,RU,1583346889,89,32.52,5.64
161,Lesnoy,57.62,-4.32,99,RU,1583346889,90,63.08,3.35
162,Padang,-0.95,20.55,100,ID,1583346889,96,100.35,0.99
163,Saldanha,-33.01,22.0,43,ZA,1583346889,68,17.94,5.7
164,Itarema,-2.92,28.81,30,BR,1583346889,78,-39.92,3.7
165,Arinos,-15.92,27.84,41,BR,1583346890,76,-46.11,1.86
166,Novaya Ladoga,60.1,2.84,100,RU,1583346890,85,32.3,6.1
167,Bethel,41.37,11.06,40,US,1583346890,29,-73.41,8.2
168,Matara,5.95,24.04,44,LK,1583346890,92,80.54,0.8
169,Nikolskoye,59.7,2.44,90,RU,1583346890,86,30.79,8.0
170,Parole,38.98,15.5,1,US,1583346809,35,-76.53,3.1
171,Waddān,29.16,19.28,0,LY,1583346891,25,16.14,7.75
172,Nuuk,64.18,-9.0,20,GL,1583346891,66,-51.72,6.7
173,Franca,-20.54,24.52,27,BR,1583346891,78,-47.4,3.41
174,Cururupu,-1.83,25.38,100,BR,1583346891,95,-44.87,0.86
175,Sol'-Iletsk,51.16,-3.2,93,RU,1583346891,97,54.99,2.51
176,Cabo San Lucas,22.89,21.23,20,MX,1583346892,49,-109.91,3.1
177,Camacha,33.08,17.24,75,PT,1583346892,68,-16.33,4.1
178,Predivinsk,57.07,-4.85,100,RU,1583346892,92,93.44,4.51
179,San Patricio,19.22,27.0,20,MX,1583346892,78,-104.7,6.2
180,Brownsville,25.9,24.77,90,US,1583346892,60,-97.5,12.3
181,Port Keats,-14.25,26.96,66,AU,1583346892,85,129.55,3.53
182,George Town,5.41,27.91,40,MY,1583346789,83,100.34,1.5
183,Torbay,47.67,3.2,90,CA,1583346893,100,-52.73,7.7
184,Fairbanks,64.84,-32.04,20,US,1583346672,98,-147.72,0.7
185,Upernavik,72.79,-24.05,99,GL,1583346666,67,-56.15,2.51
186,Palana,59.12,-15.21,16,RU,1583346784,80,159.97,1.92
187,Semporna,4.48,26.0,20,MY,1583346894,94,118.61,1.94
188,Pak Phanang,8.35,25.22,68,TH,1583346894,85,100.2,1.11
189,Aykhal,66.0,-17.0,78,RU,1583346894,84,111.5,2.0
190,Kavaratti,10.57,27.68,64,IN,1583346894,75,72.64,5.97
191,Buchanan,5.88,28.9,72,LR,1583346895,74,-10.05,3.59
192,Lincoln,40.8,14.17,1,US,1583346895,28,-96.67,2.1
193,Broome,42.25,6.45,75,US,1583346895,44,-75.83,6.7
194,Howard Springs,-12.5,26.84,53,AU,1583346895,83,131.05,2.1
195,Coos Bay,43.37,10.21,75,US,1583346878,81,-124.22,1.5
196,Skjervøy,70.03,-3.91,18,NO,1583346896,59,20.97,9.61
197,Asău,46.43,13.47,99,RO,1583346896,67,26.4,7.7
198,São João da Barra,-21.64,25.0,90,BR,1583346896,78,-41.05,4.1
199,Kieta,-6.22,27.47,100,PG,1583346896,81,155.63,2.38
200,Constitución,-35.33,21.72,1,CL,1583346896,45,-72.42,6.03
201,Hamilton,39.18,14.93,90,US,1583346639,31,-84.53,7.2
202,Souillac,-20.52,26.28,40,MU,1583346896,100,57.52,1.0
203,Syumsi,57.11,-2.16,100,RU,1583346897,96,51.61,1.52
204,Remanso,-9.62,29.53,45,BR,1583346897,67,-42.08,1.49
205,Cabra,37.47,17.73,35,ES,1583346897,49,-4.44,3.6
206,Prieska,-29.66,29.43,0,ZA,1583346897,21,22.75,2.04
207,Ilulissat,69.22,-22.0,20,GL,1583346897,52,-51.1,2.1
208,Taltal,-25.4,20.35,0,CL,1583346897,63,-70.48,4.09
209,Maceió,-9.67,32.0,40,BR,1583346898,59,-35.74,7.7
210,Ati,13.22,31.61,11,TD,1583346898,12,18.34,4.76
211,Olafsvik,64.89,-0.27,88,IS,1583346898,67,-23.71,3.75
212,Ambulu,-8.35,27.01,99,ID,1583346898,84,113.61,2.87
213,Pizhanka,57.46,-0.38,100,RU,1583346898,95,48.54,4.84
214,Vanavara,60.34,-10.76,100,RU,1583346898,96,102.28,2.27
215,Burns Lake,54.23,-3.85,0,CA,1583346899,70,-125.75,3.63
216,Antalaha,-14.9,27.7,100,MG,1583346899,78,50.28,9.73
217,La Ronge,55.1,-7.0,75,CA,1583346899,92,-105.28,3.6
218,Muros,42.78,14.79,75,ES,1583346899,100,-9.06,6.2
219,Los Llanos de Aridane,28.66,19.2,20,ES,1583346899,77,-17.92,4.6
220,Tongliao,43.61,-11.66,0,CN,1583346900,78,122.27,2.77
221,Mendi,-6.18,14.02,100,PG,1583346900,99,143.65,1.01
222,Homer,59.64,-16.64,20,US,1583346663,59,-151.55,3.1
223,Tuatapere,-46.13,4.44,2,NZ,1583346900,87,167.68,0.45
224,Laguna,38.42,18.91,1,US,1583346900,51,-121.42,0.65
225,San Jose,37.34,18.74,75,US,1583346900,51,-121.89,0.57
226,Fethiye,36.62,16.0,75,TR,1583346901,72,29.12,2.1
227,Katherine,-14.47,27.0,90,AU,1583346901,78,132.27,2.1
228,Faanui,-16.48,27.63,90,PF,1583346901,79,-151.75,4.74
229,Umm Kaddadah,13.6,27.75,0,SD,1583346901,11,26.69,4.56
230,Sitrah,26.15,18.09,0,BH,1583346901,55,50.62,5.7
231,Orbe,46.73,3.78,75,CH,1583346901,52,6.53,1.5
232,Östersund,63.18,-3.71,90,SE,1583346902,100,14.64,2.6
233,Nome,64.5,-21.04,1,US,1583346902,83,-165.41,2.23
234,Ligayan,4.65,27.4,100,PH,1583346902,81,119.47,5.28
235,Tourlaville,49.64,9.25,90,FR,1583346902,100,-1.57,7.2
236,Camabatela,-8.19,19.53,14,AO,1583346903,92,15.38,1.67
237,Pontes e Lacerda,-15.23,32.26,46,BR,1583346717,41,-59.34,1.63
238,Lixouri,38.2,12.85,75,GR,1583346903,76,20.43,2.6
239,Hong Kong,22.29,17.48,40,HK,1583346903,82,114.16,3.6
240,Palembang,-2.92,24.31,100,ID,1583346620,93,104.75,1.98
241,Zyryanka,65.75,-22.4,0,RU,1583346903,82,150.85,5.01
242,Santa Rosa,14.31,24.26,20,PH,1583346904,83,121.11,2.6
243,Samarai,-10.62,25.1,100,PG,1583346904,90,150.67,1.28
244,Grindavik,63.84,-1.53,75,IS,1583346904,86,-22.43,4.6
245,Kautokeino,69.01,-16.35,1,NO,1583346904,91,23.04,3.69
246,Barrow,71.29,-37.0,1,US,1583346904,98,-156.79,2.1
247,Wenling,28.37,7.78,100,CN,1583346904,77,121.36,5.81
248,Sobolevo,54.43,6.43,100,RU,1583346905,84,31.9,6.53
249,Chegdomyn,51.12,-13.1,96,RU,1583346724,97,133.02,0.31
250,Martapura,-3.42,22.7,100,ID,1583346905,93,114.85,0.18
251,Guía de Isora,28.21,20.73,15,ES,1583346905,64,-16.78,2.6
252,Klaksvík,62.23,2.0,95,FO,1583346905,80,-6.59,3.1
253,Goderich,43.75,2.24,91,CA,1583346643,84,-81.72,7.33
254,Airai,-8.93,20.12,93,TL,1583346906,96,125.41,0.79
255,Saint George,37.1,11.81,1,US,1583346906,40,-113.58,0.91
256,Ware,51.81,5.47,90,GB,1583346906,93,-0.03,3.6
257,Alice Springs,-23.7,17.0,40,AU,1583346861,100,133.88,1.5
258,Sibolga,1.74,22.69,100,ID,1583346829,95,98.78,1.17
259,Hasaki,35.73,7.52,75,JP,1583346907,100,140.83,2.6
260,Camaná,-16.62,22.11,91,PE,1583346907,74,-72.71,4.56
261,San Ignacio,17.16,34.28,2,BZ,1583346907,53,-89.07,3.1
262,Huarmey,-10.07,29.95,74,PE,1583346907,47,-78.15,5.08
263,Poum,-20.23,27.04,1,NC,1583346908,78,164.02,5.13
264,Praia,14.92,29.0,0,CV,1583346908,28,-23.51,8.7
265,Narasannapeta,18.42,22.86,26,IN,1583346908,78,84.05,0.16
266,Mossamedes,-15.2,23.32,0,AO,1583346683,84,12.15,6.96
267,Taldan,53.67,-13.71,100,RU,1583346908,96,124.8,2.58
268,Nixa,37.04,12.14,1,US,1583346908,48,-93.29,2.6
269,Esperance,-33.87,15.0,0,AU,1583346909,82,121.9,5.1
270,Alvorada,-12.48,28.1,56,BR,1583346909,85,-49.12,2.33
271,Rapid Valley,44.06,12.21,1,US,1583346730,24,-103.15,2.6
272,Las Palmas,28.42,21.0,0,ES,1583346909,77,-14.01,6.2
273,Viedma,-40.81,38.01,6,AR,1583346683,11,-63.0,7.6
274,Naze,28.37,15.0,90,JP,1583346909,72,129.48,8.7
